,Customer Id,International,Express Shipment,Installation Included,Remote Location,Cost,Artist Reputation_median,Price Of Sculpture_median,Base Shipping Price_median,Height_median_sqaure,Width_median_log,Weight_median_Boxcox,Material_Brass,Material_Bronze,Material_Clay,Material_Marble,Material_Stone,Material_Wood,Transport_Roadways,Transport_Waterways,Scheduled_day,Scheduled_month,Delivery_day,Delivery_month
0,fffe3900350033003300,1,1,0,0,283.29,0.26,13.91,16.27,4.123105625617661,1.791759469228055,6.2213801331748515,1,0,0,0,0,0,0,0,7,6,3,6
1,fffe3800330031003900,0,0,0,0,159.96,0.28,6.83,15.0,1.7320508075688772,1.0986122886681098,3.5462055873360727,1,0,0,0,0,0,1,0,6,3,5,3
2,fffe3600370035003100,0,0,0,1,154.29,0.07,4.96,21.18,2.8284271247461903,1.6094379124341003,4.499928529516025,0,0,1,0,0,0,1,0,9,3,8,3
3,fffe350031003300,0,0,0,1,161.16,0.12,5.81,16.31,3.0,2.0794415416798357,6.065097419355268,0,0,0,0,0,0,0,0,24,5,20,5
4,fffe3900320038003400,1,1,1,0,159.23,0.15,3.18,11.94,4.123105625617661,1.791759469228055,4.70645435794155,0,0,0,0,0,0,0,0,18,12,14,12
5,fffe3300390039003900,0,1,0,0,1922.78,0.99,6.16,16.88,6.782329983125268,2.9444389791664403,5.510376576001159,0,0,0,0,0,1,0,0,28,8,26,8
6,fffe3800360033003700,0,1,0,0,1536.66,0.64,8.26,90.67,4.123105625617661,2.1972245773362196,6.520939063627052,1,0,0,0,0,0,1,0,5,6,2,6
7,fffe3800300039003800,1,0,0,0,422.42,0.74,12.81,13.25,4.795831523312719,2.302585092994046,6.097046745318637,0,0,1,0,0,0,0,1,4,6,31,5
8,fffe3800330032003900,1,0,0,1,160.1,0.0,3.98,19.76,2.449489742783178,1.3862943611198906,3.959301993188096,0,0,1,0,0,0,0,1,27,8,23,8
9,fffe3800310031003800,0,0,0,0,834.27,0.12,245.63,49.25,4.795831523312719,2.1972245773362196,8.037862413599047,0,0,0,1,0,0,1,0,14,7,10,7
10,fffe3100350034003800,0,0,1,0,652.66,0.14,37.22,85.09,6.855654600401044,3.2188758248682006,7.362484976011746,0,1,0,0,0,0,0,0,29,7,27,7
11,fffe380031003700,0,0,1,0,4106.98,0.29,1800.96,56.04,5.656854249492381,2.1972245773362196,6.065097419355268,0,0,0,0,1,0,0,0,1,3,1,3
12,fffe3900370032003400,0,1,0,0,190.08,0.26,5.87,20.72,3.605551275463989,1.791759469228055,5.665612168626984,0,1,0,0,0,0,0,0,26,10,28,10
13,fffe3400370033003400,0,1,1,0,334.98,0.54,6.47,17.55,5.0990195135927845,2.1972245773362196,6.065097419355268,0,0,0,0,0,1,0,0,16,9,17,9
14,fffe310033003100,1,0,1,0,359.72,0.69,14.03,16.43,4.58257569495584,1.791759469228055,6.1980367298666055,1,0,0,0,0,0,0,1,30,4,3,5
15,fffe3800360036003700,0,0,1,1,88316.02,0.72,29625.6,84.38,6.6332495807108,2.4849066497880004,9.211889028542277,0,0,0,0,1,0,1,0,24,6,26,6
16,fffe3600310039003300,1,0,0,0,329.2,0.27,29.47,28.18,3.1622776601683795,1.3862943611198906,6.772938926100757,0,0,0,0,1,0,0,1,29,4,26,4
17,fffe3800350033003500,0,0,0,0,1924.3,0.1,771.98,64.64,6.082762530298219,2.1972245773362196,8.120411146338276,0,0,0,1,0,0,1,0,23,9,22,9
18,fffe3900360036003600,0,1,0,0,425.64,0.11,7.1,82.84,4.358898943540674,2.6390573296152584,6.569310742265651,0,1,0,0,0,0,1,0,10,2,14,2
19,fffe3500380035003600,0,0,1,0,1354.11,0.54,165.05,86.65,4.47213595499958,2.0794415416798357,7.572045106760232,0,0,0,0,1,0,1,0,11,4,13,4
20,fffe3300370038003200,0,1,0,0,318.74,0.59,5.56,15.76,4.47213595499958,2.1972245773362196,4.379001668394685,1,0,0,0,0,0,0,0,10,11,7,11
21,fffe320030003900,1,0,1,0,708.99,0.11,263.03,46.56,4.47213595499958,2.1972245773362196,8.080603825392032,0,0,0,1,0,0,0,1,6,7,6,7
22,fffe3900360035003300,0,0,0,0,244.61,0.66,6.9,10.48,3.0,1.6094379124341003,4.329217657965857,0,0,0,0,0,0,1,0,10,11,7,11
23,fffe3600360032003400,1,1,1,0,39680.72,0.57,3403.92,30.87,5.385164807134504,2.1972245773362196,8.557543031635062,0,0,0,0,1,0,0,0,15,11,13,11
